Name,Group,Morphology,SF status,Diameter (pc),Diameter (ly),Luminosity (☉),Luminosity (L*),AGN Type,AGN Fraction,Eddington Mass,Distance (pc),App. Magnitude,Diameter ('),Ellipticity,"SB (mag/"")",Design Details,∆x (pc),∆y (pc),∆z (pc)
Parasola,Castilleja Group,SA(r)a,Anemic,21543,"70,264",4.52E+09,0.320,None,0,0.00E+00,1.00E+06,5.69,74.05,0.5,24.42,offset dust rings,,,
Psathyrella,Castilleja Group,SAB(rs)ab,Anemic,23209,"75,698",6.15E+09,0.435,LINER,0.173,3.32E+04,1.00E+06,5.36,79.77,0.75,23.50,dusty disk,,,
Stephanotis,Castilleja Group,Amorphous,Starburst,34410,"112,230",1.67E+10,1.178,Sy2 + Sy2,0.226,1.18E+05,1.00E+06,4.28,118.25,0.67,23.57,2-heart LIRG,,,
Mystropetalon,Castilleja Group,SA(s)b pec,Starburst,35281,"115,071",1.66E+10,1.177,NLSy1,0.199,1.03E+05,1.00E+06,4.28,121.24,0.5,24.08,spectacular destruction,,,
Sphaerobolus,Castilleja Group,SA(s)a,Elevated,29991,"97,817",2.47E+10,1.748,FRI NLRG,0.778,6.01E+05,1.00E+06,3.85,103.07,0.2,23.80,Radio early spiral,,,
Plectocomia,Plectocomia Group,SAB(r)cd,Steady,108510,"353,912",1.08E+11,7.654,None,0,0.00E+00,1.00E+06,2.24,371.58,0.33,24.79,expanding arms,,,
Musa,Plectocomia Group,SB(s)d,Steady,50115,"163,453",2.06E+10,1.456,None,0,0.00E+00,1.00E+06,4.05,172.14,0.2,25.12,giant late-type S,,,
Ensete,Plectocomia Group,SB(s)c pec,Starburst,28115,"91,699",1.36E+10,0.962,Sy2,0.373,1.59E+05,1.00E+06,4.50,96.63,0,24.56,disturbed normal S,,,
Drymocallis,Plectocomia Group,SAB(r)ab,Anemic,19198,"62,615",6.67E+09,0.472,Sy1.2/LINER,0.141,2.94E+04,1.00E+06,5.27,65.99,0.5,23.75,dust arms + oval,,,
Anathallis,Plectocomia Group,SA(r)b pec,Starburst,53568,"174,715",4.57E+10,3.233,Sy2,0.332,4.74E+05,1.00E+06,3.18,183.98,0.4,24.08,blue outer arms,,,
Barbosella,Plectocomia Group,SAB(s)0a pec,Terminal,20115,"65,606",5.74E+09,0.406,Sy1.5,25.148,4.51E+06,1.00E+06,5.43,69.14,0.75,23.26,disrupted peanut,,,
Dryadella,Plectocomia Group,SA(rs)bc,Elevated,43042,"140,384",3.07E+10,2.172,Sy1.8,0.755,7.24E+05,1.00E+06,3.61,147.88,0,24.60,3-arm asymmetric,,,
Draconanthes,Plectocomia Group,SB(rs)m,Starburst,9492,"30,959",1.30E+09,0.092,None,0,0.00E+00,1.00E+06,7.05,32.63,0.2,24.50,bulge/bar Sm,,,
Aralia,Plectocomia Group,Amorphous,Firestorm,33815,"110,290",4.19E+10,2.966,None,0,0.00E+00,1.00E+06,3.27,116.20,0.5,22.98,total disruption,,,
Spirotheca,Plectocomia Group,SA(s)0 pec,Rejuvenating,20985,"68,444",7.70E+09,0.545,LINER,0.0317,7.63E+03,1.00E+06,5.11,72.13,0.5,23.79,classical S0,,,
Orobanche,Plectocomia Group,SA(s)0 pec,Starburst,6868,"22,400",6.23E+08,0.044,None,0,0.00E+00,1.00E+06,7.84,23.61,0.75,23.34,parasitic S0,,,
Hyobanche,Plectocomia Group,E1 pec,Starburst,6221,"20,290",5.23E+08,0.037,None,0,0.00E+00,1.00E+06,8.03,21.39,0.5,24.07,parasitic E,,,
Tetragonium,Plectocomia Group,SA(s)cd,Steady,29483,"96,161",5.32E+09,0.376,None,0,0.00E+00,1.00E+06,5.52,101.33,0.5,24.93,razor-thin,,,
Aizoön,Plectocomia Group,SA(s)m,Steady,10210,"33,301",9.47E+08,0.067,None,0,0.00E+00,1.00E+06,7.39,35.10,0.3,24.86,bubbly,,,
Epipactis,Victoria Group,SAB(s)m,Elevated,8441,"27,531",1.14E+09,0.080,None,0,0.00E+00,1.00E+06,7.19,29.02,0,24.64,dusty sm,,,
Cephalanthera,Victoria Group,SAB(rs)0,Quenched,8019,"26,154",1.29E+09,0.091,None,0,0.00E+00,1.00E+06,7.05,27.57,0,24.39,weirdly small s0,,,
Lycopodium,Victoria Group,SA(s)cd pec,Starburst,121109,"395,004",9.50E+10,6.720,Sy1,0.483,1.43E+06,1.00E+06,2.39,414.32,0,25.61,turbulent merger S,,,
Isoetes,Victoria Group,Amorphous,Quenched,13029,"42,495",5.46E+09,0.386,None,0,0.00E+00,1.00E+06,5.49,44.79,0.67,22.67,stripped S core,,,
Melamphora,Victoria Group,Amorphous,Firestorm,20757,"67,700",5.17E+10,3.657,None,0,0.00E+00,1.00E+06,3.05,71.35,0,22.45,chaotic merger ,,,
Xenodochus,Victoria Group,Amorphous,Firestorm,20448,"66,692",4.33E+10,3.063,None,0,0.00E+00,1.00E+06,3.24,70.29,0.5,21.85,disrupted late S,,,
Victoria,Victoria Group,SB(r)c,Steady,34218,"111,604",1.41E+10,0.997,HII nucleus,0.0172,7.58E+03,1.00E+06,4.46,117.59,0.67,23.74,Spiny,,,
Euryale,Victoria Group,SA(s)bc,Steady,15112,"49,289",3.76E+09,0.266,None,0,0.00E+00,1.00E+06,5.89,51.95,0.5,23.85, 'blister' HIIs,,,
Nymphaea,Victoria Group,SB(rs)ab,Steady,20871,"68,072",8.30E+09,0.587,Sy1,4.517,1.17E+06,1.00E+06,5.03,71.74,0,24.44,3/4 outer ring,,,
Cabomba,Victoria Group,SB(s)m,Steady,6658,"21,715",3.78E+08,0.027,None,0,0.00E+00,1.00E+06,8.39,22.89,0.2,25.08,really distorted Sm,,,
Trithuria,Victoria Group,IA(s)m,Steady,1383,"4,511",1.22E+07,0.001,None,0,0.00E+00,1.00E+06,12.11,4.75,0,25.63,distorted dwarf,,,
Mimosa,Victoria Group,SAB(r)ab,Steady,25194,"82,172",8.50E+09,0.601,Sy1.2,2.716,7.21E+05,1.00E+06,5.01,86.59,0.33,24.39,outer arm bilobe,,,
Calliandra,Victoria Group,SA(s)a pec,Elevated,7482,"24,403",1.47E+09,0.104,None,0,0.00E+00,1.00E+06,6.91,25.72,0.67,22.89,amorphous tight S,,,
Histoplasma,Victoria Group,Amorphous,Starburst,26740,"87,214",1.74E+10,1.232,Radio-loud QSO,571.4,3.11E+08,1.00E+06,4.23,91.90,0.5,23.43,spiral merger,,,
Gyromitra,Victoria Group,Collisional ring,Starburst,44150,"143,998",1.58E+10,1.121,None,0,0.00E+00,1.00E+06,4.33,151.68,0,25.37,empty ring,,,
Paxillus,Victoria Group,(R)SA(s)0 pec,Quenched,34119,"111,281",1.39E+10,0.983,HII nucleus,0.1515,6.58E+04,1.00E+06,4.47,117.25,0.75,23.45,ringed s0,,,
Tragopogon,Victoria Group,Amorphous,Firestorm,5410,"17,645",1.05E+09,0.074,Sy1,1.58,5.19E+04,1.00E+06,7.28,18.60,0.5,23.00,dwarf merger,,,
Pandanus,Victoria Group,SB(s)c pec,Elevated,27764,"90,554",1.23E+10,0.869,None,0,0.00E+00,1.00E+06,4.61,95.42,0.5,23.89,tidal tail arms,,,
Psychotria,Victoria Group,IB(s)m pec,Elevated,4755,"15,509",1.42E+08,0.010,None,0,0.00E+00,1.00E+06,9.45,16.35,0.67,24.45,truncated irr/s0,,,
Desmochloris,Cladophora Group,SA(r)cd pec,Starburst,105613,"344,463",1.51E+11,10.716,Sy1.2/HII nucleus,0.228,1.08E+06,1.00E+06,1.88,361.73,0,24.80,loose multi-armed,,,
Cosmarium,Cladophora Group,SAB(rs)c pec,Starburst,43124,"140,652",1.37E+10,0.970,Sy1.9,0.184,7.88E+04,1.00E+06,4.49,148.16,0,25.47,meathook arms,,,
Halimeda,Cladophora Group,SAB(s)0a,Terminal,28118,"91,709",1.25E+10,0.884,LINER,0.105,4.10E+04,1.00E+06,4.59,96.64,0.67,23.44,S0 with inner lens,,,
Codium,Cladophora Group,SA(s)b,Elevated,11746,"38,310",2.37E+09,0.168,None,0,0.00E+00,1.00E+06,6.39,40.38,0,24.56,tiny regular spiral,,,
Chlorodesmis,Cladophora Group,SB(s)m,Elevated,7768,"25,336",8.99E+08,0.064,None,0,0.00E+00,1.00E+06,7.45,26.70,0,24.71,flocculent SBm,,,
Acetabularia,Cladophora Group,SA(s)d,Steady,5157,"16,820",1.12E+08,0.008,Sy1,0.891,3.12E+03,1.00E+06,9.71,17.73,0.95,22.83,Sd w classic bulge,,,
Cladophora,Cladophora Group,SA(r)b pec,Elevated,27748,"90,502",7.89E+09,0.558,Sy2,0.337,8.31E+04,1.00E+06,5.09,95.37,0.2,24.88,vertical stretching,,,
Valonia,Cladophora Group,SB(rs)d,Steady,28109,"91,679",1.15E+10,0.812,None,0,0.00E+00,1.00E+06,4.68,96.61,0.2,24.50,giant HII arcs,,,
Neomeris,Cladophora Group,SB(s)m,Elevated,15029,"49,018",3.15E+09,0.223,HII nucleus,0.118,1.16E+04,1.00E+06,6.09,51.66,0.67,23.58,lens w one arm,,,
Actinastrum,Cladophora Group,SA(s)dm,Steady,6674,"21,768",8.14E+08,0.058,None,0,0.00E+00,1.00E+06,7.55,22.94,0,24.49,undisturbed LMC,,,
Parvocaulis,Cladophora Group,SAB(s)dm,Steady,6262,"20,424",2.17E+08,0.015,None,0,0.00E+00,1.00E+06,8.99,21.53,0,25.79,outer HII ring,,,
Prototheca,Cladophora Group,SB(s)m,Steady,6301,"20,551",2.15E+08,0.015,Sy1.2,0.247,1.66E+03,1.00E+06,9.00,21.66,0,25.81,"LSB arm, HSB bar",,,
Diacanthos,Cladophora Group,SA(s)b pec,Starburst,25383,"82,788",1.11E+10,0.787,Sy2,0.575,2.00E+05,1.00E+06,4.71,87.24,0.5,23.80,scalloped rings,,,
Acanthosphaera,Cladophora Group,SA(s)a,Anemic,23115,"75,391",5.32E+09,0.376,NLSy1,0.273,4.54E+04,1.00E+06,5.52,79.45,0,25.15,nuclear starburst,,,
Prasinoderma,Cladophora Group,IA(s)m,Starburst,3392,"11,063",5.17E+08,0.037,None,0,0.00E+00,1.00E+06,8.05,11.66,0.2,23.27,outflow dwarf,,,
Prasinocladus,Cladophora Group,SA(s)m,Starburst,13721,"44,752",2.43E+09,0.172,None,0,0.00E+00,1.00E+06,6.37,47.17,0,24.87,disk-edge bulge,,,
Bambusina,Cladophora Group,SB(rs)cd,Steady,14646,"47,769",3.14E+09,0.222,HII nucleus,0.03328,3.27E+03,1.00E+06,6.09,50.35,0,24.73,weirdly mature,,,
Cosmocladium,Cladophora Group,SA(s)d,Steady,20447,"66,689",2.18E+09,0.154,None,0,0.00E+00,1.00E+06,6.49,70.28,0,25.85,green S,,,
Coleochaete,Cladophora Group,SA(s)d,Steady,10141,"33,075",8.05E+08,0.057,None,0,0.00E+00,1.00E+06,7.57,34.86,0,25.41,amorphous clumpy,,,
Micrasterias,Cladophora Group,SB(r)bc,Steady,64181,"209,330",4.77E+10,3.374,Sy2/LINER,0.0214,3.19E+04,1.00E+06,3.13,220.34,0,24.98,Dichotomous branch,,,
Anthurium,Cladophora Group,SB(s)0a,Terminal,29157,"95,097",5.74E+09,0.406,LINER,0.1145,2.05E+04,1.00E+06,5.43,100.21,0,25.57,thin outer ring,,,
Xerocomus,Cladophora Group,SA(rs)ab,Steady,27774,"90,587",1.06E+10,0.753,Sy1,1.175,3.91E+05,1.00E+06,4.76,95.46,0.5,24.04,scaly,,,
Laetisaria,Cladophora Group,SA(s)0,Quenched,28756,"93,789",1.17E+10,0.828,None,0,0.00E+00,1.00E+06,4.66,98.83,0.99,19.77,razor-thin S0,,,
Vascellum,Cladophora Group,SB(s)bc,Steady,36510,"119,080",2.65E+10,1.871,Sy1/HII nucleus,0.141,1.17E+05,1.00E+06,3.77,125.46,0,24.40,thunderstruck,,,
Podaxis,Cladophora Group,SB(s)d,Steady,13101,"42,730",2.37E+09,0.168,None,0,0.00E+00,1.00E+06,6.39,45.04,0.5,24.04,dry,,,
Cercis,Lardizabala Group,SAB(s)c,Elevated,42191,"137,608",2.17E+10,1.538,Sy2,0.337,2.29E+05,1.00E+06,3.99,144.96,0.2,24.68,dust-rich,,,
Lardizabala,Lardizabala Group,SAB(r)b,Steady,64518,"210,429",4.34E+10,3.068,Sy1/LINER,0.111,1.50E+05,1.00E+06,3.24,221.49,0,25.10,deep blue,,,
Calaena,Lardizabala Group,SB(r)bc,Steady,29556,"96,399",1.01E+10,0.717,Sy1.8,0.281,8.90E+04,1.00E+06,4.81,101.58,0,24.98,blue outer ring,,,
Euastrum,Lardizabala Group,SA(r)a pec,Terminal,20309,"66,239",1.04E+10,0.734,None,0,0.00E+00,1.00E+06,4.79,69.81,0,24.14,backwards,,,
Etlingera,Lardizabala Group,SAB(rs)bc,Elevated,26766,"87,299",1.09E+10,0.769,Radio-quiet QSO,15.414,5.24E+06,1.00E+06,4.74,91.99,0,24.69,star-forming bulge,,,
Zingiber,Lardizabala Group,SA(s)b,Steady,54209,"176,806",2.09E+10,1.478,None,0,0.00E+00,1.00E+06,4.03,186.17,0.75,24.01,arc armlets,,,
Tapeinochilos,Lardizabala Group,SAB(rs)cd,Steady,72521,"236,532",3.38E+10,2.387,None,0,0.00E+00,1.00E+06,3.51,248.87,0,25.62,only thick disk,,,
Serapias,Lardizabala Group,SA(s)c pec,Starburst,26771,"87,315",1.14E+10,0.804,None,0,0.00E+00,1.00E+06,4.69,92.01,0.85,22.58,feathery merger,,,
Uleiorchis,Lardizabala Group,SAB(s)bc pec,Starburst,23310,"76,027",1.33E+10,0.942,None,0,0.00E+00,1.00E+06,4.52,80.12,0.67,22.97,amorphous merger,,,
Dactylorhiza,Lardizabala Group,SAB(r)b pec,Elevated,30016,"97,899",1.28E+10,0.907,None,0,0.00E+00,1.00E+06,4.56,103.16,0.5,24.01,warped,,,
Diplomeris,Lardizabala Group,SAB(rs)c pec,Elevated,29466,"96,105",4.42E+09,0.313,None,0,0.00E+00,1.00E+06,5.72,101.27,0,25.88,smooth merger arms,,,
Malaxis,Lardizabala Group,SB(rs)bc,Steady,43039,"140,374",2.09E+10,1.478,None,0,0.00E+00,1.00E+06,4.03,147.87,0,25.01,smooth merger arms,,,
Orestias,Lardizabala Group,SB(s)b,Steady,20588,"67,149",7.16E+09,0.506,None,0,0.00E+00,1.00E+06,5.19,70.77,0,24.58,smooth merger arms,,,
Karawata,Calocera Group,SA(s)b,Steady,30338,"98,949",1.25E+10,0.882,HII nucleus,0.017,6.62E+03,1.00E+06,4.59,104.26,0,24.81,offcenter outer ring,,,
Aechmea,Calocera Group,SA(s)c,Steady,105574,"344,336",1.04E+11,7.370,Sy2,0.022,7.16E+04,1.00E+06,2.29,361.60,0,25.21,giant star clouds,,,
Fascicularia,Calocera Group,SAB(s)c,Steady,37556,"122,491",1.37E+10,0.969,None,0,0.00E+00,1.00E+06,4.49,129.05,0.5,24.42,fluffy grand-design,,,
Racinaea,Calocera Group,SB(s)bc,Elevated,25556,"83,352",7.68E+09,0.543,None,0,0.00E+00,1.00E+06,5.12,87.84,0.5,24.22,HII-rich SB,,,
Platycerium,Calocera Group,SA(s)d,Steady,28741,"93,740",6.78E+09,0.480,LINER,0.147,3.12E+04,1.00E+06,5.25,98.78,0.9,22.86,greenish Sd,,,
Lepidostroma,Calocera Group,IA(s)m,Steady,13100,"42,726",2.75E+09,0.194,None,0,0.00E+00,1.00E+06,6.23,45.03,0.3,24.25,dust-rich club I,,,
Tremella,Calocera Group,IA(s)m,Starburst,1918,"6,256",4.70E+07,0.003,None,0,0.00E+00,1.00E+06,10.65,6.59,0,24.88,shell I,,,
Calocera,Calocera Group,IB(s)m,Steady,3864,"12,603",1.09E+08,0.008,None,0,0.00E+00,1.00E+06,9.74,13.28,0.75,23.98,stick,,,
Crystallodon,Calocera Group,SAB(rs)m pec,Starburst,17641,"57,537",5.52E+09,0.390,Radio-quiet QSO,44.51,7.68E+06,1.00E+06,5.48,60.64,0,24.52,displaced quasar,,,
Geastrum,Calocera Group,IAB(s)m pec,Starburst,14128,"46,079",2.58E+09,0.183,Sy1,2.137,1.72E+05,1.00E+06,6.30,48.57,0.5,24.11,multicolored lump,,,
Asteriscus,Calocera Group,SA(s)ab pec,Rejuvenating,15778,"51,461",4.15E+09,0.293,NLSy1,0.237,3.07E+04,1.00E+06,5.79,54.24,0.75,23.09,redeveloping spiral,,,
Arisaema,Calocera Group,SA(s)bc pec,Elevated,15092,"49,223",4.34E+09,0.307,None,0,0.00E+00,1.00E+06,5.74,51.88,0.5,23.69,deadly,,,
Dioon,Ustilago Group,(R')SA(s)0a pec,Rejuvenating,28409,"92,658",7.85E+09,0.555,None,0,0.00E+00,1.00E+06,5.09,97.64,0.67,23.97,false spiral,,,
Corylus,Ustilago Group,SA(r)b pec,Elevated,27764,"90,554",8.34E+09,0.590,None,0,0.00E+00,1.00E+06,5.03,95.42,0.5,24.31,waterfall,,,
Spirogyra,Ustilago Group,SA(s)a pec,Elevated,24447,"79,735",5.39E+09,0.381,Sy1.5,3.147,5.30E+05,1.00E+06,5.50,84.03,0.67,24.05,coil-ringed S,,,
Tetraselmis,Ustilago Group,SAB(s)a pec,Elevated,20122,"65,629",5.02E+09,0.355,Sy1.9,2.299,3.61E+05,1.00E+06,5.58,69.17,0.5,24.16,integral-sign S,,,
Pereskia,Ustilago Group,Collisional ring,Starburst,32101,"104,699",1.17E+10,0.828,Sy1/HII nucleus,0.544,1.99E+05,1.00E+06,4.66,110.32,0,25.01,bulge punched out,,,
Oropogon,Ustilago Group,(R)SAB(s)0a pec,Elevated,39164,"127,736",1.33E+10,0.942,Sy1.2,0.336,1.40E+05,1.00E+06,4.52,134.57,0.5,24.55,S-ring transition,,,
Asterochloris,Ustilago Group,(R)SA(s)0 pec,Quenched,6779,"22,110",8.65E+08,0.061,None,0,0.00E+00,1.00E+06,7.49,23.30,0.2,24.22,outer-ring dS0,,,
Erythrorchis,Ustilago Group,(R')SB(r)0a,Anemic,32214,"105,068",1.24E+10,0.876,LINER,0.0147,5.69E+03,1.00E+06,4.60,110.71,0,24.95,"ansae bar, dusty",,,
Dipodium,Ustilago Group,SA(r)ab,Anemic,23491,"76,617",8.60E+09,0.608,LINER,0.0227,6.10E+03,1.00E+06,4.99,80.74,0.75,23.16,green valley S,,,
Catasetum,Ustilago Group,SA(s)d pec,Starburst,10419,"33,982",2.17E+09,0.154,None,0,0.00E+00,1.00E+06,6.49,35.82,0.9,21.89,inflated bulgeless,,,
Trisetella,Ustilago Group,SB(s)dm pec,Starburst,9202,"30,013",1.34E+09,0.095,HII nucleus,0.1291,5.40E+03,1.00E+06,7.01,31.63,0.9,22.15,disrupted X,,,
Zea,Ustilago Group,SB(rs)b pec,Starburst,71109,"231,926",3.14E+10,2.219,Sy1,0.561,5.50E+05,1.00E+06,3.59,244.04,0.67,24.46,one distended arm,,,
Ustilago,Ustilago Group,SA(s)0 pec,Terminal,17841,"58,189",4.17E+09,0.295,None,0,0.00E+00,1.00E+06,5.78,61.33,0.75,23.35,distorted s0,,,
Elionurus,Ustilago Group,SAB(s)m,Steady,8751,"28,542",5.70E+08,0.040,None,0,0.00E+00,1.00E+06,7.94,30.08,0,25.47,tadpole Sm,,,
Chrysothamnus,Ustilago Group,SB(rs)ab pec,Elevated,30174,"98,414",1.22E+10,0.864,None,0,0.00E+00,1.00E+06,4.61,103.70,0,24.83,telephone receiver,,,
Pholisma,Ustilago Group,SB(s)a pec,Quenched,13198,"43,046",2.32E+09,0.164,None,0,0.00E+00,1.00E+06,6.42,45.37,0,24.84,telephone speaker,,,
Fragaria,Laternea Group,SB(r)cd,Steady,15109,"49,279",3.16E+09,0.224,None,0,0.00E+00,1.00E+06,6.08,51.94,0.5,24.04,messy outer ring,,,
Fenestraria,Laternea Group,SA(rs)b pec,Elevated,43331,"141,327",2.18E+10,1.543,Sy1,0.464,3.16E+05,1.00E+06,3.98,148.87,0,24.98,cut-off portion,,,
Myrmecodia,Laternea Group,SAB(s)ab pec,Starburst,22581,"73,649",8.90E+09,0.630,Sy2,2.174,6.05E+05,1.00E+06,4.96,77.61,0,24.54,flyby post-starburst,,,
Melaleuca,Laternea Group,SA(s)a pec,Starburst,22019,"71,816",8.72E+09,0.617,Sy2,2.109,5.74E+05,1.00E+06,4.98,75.68,0.6,23.51,flyby starburst S,,,
Wolffia,Laternea Group,SA(s)d,Steady,4413,"14,393",4.84E+08,0.034,None,0,0.00E+00,1.00E+06,8.12,15.17,0.5,23.40,outer grand-design,,,
Santalum,Laternea Group,SA(s)bc,Elevated,39349,"128,339",2.10E+10,1.485,HII nucleus,0.014,9.19E+03,1.00E+06,4.02,135.20,0.5,24.06,very fine flocculent,,,
Cuscuta,Laternea Group,Amorphous,Starburst,32752,"106,823",2.14E+09,0.151,None,0,0.00E+00,1.00E+06,6.50,112.55,0.9,24.40,hockey stick,,,
Laternea,Laternea Group,(R')SA(s)0a pec,Elevated,28799,"93,930",8.15E+09,0.576,LINER,0.1626,4.14E+04,1.00E+06,5.05,98.98,0.67,23.96,54° outer ring,,,
Scleroderma,Laternea Group,IA(s)m pec,Firestorm,25101,"81,868",1.32E+10,0.934,Radio-loud QSO,125.418,5.18E+07,1.00E+06,4.53,86.27,0,24.34,dust-encased SF,,,
Marchantia,Laternea Group,Amorphous,Starburst,33828,"110,332",1.32E+10,0.932,None,0,0.00E+00,1.00E+06,4.53,116.25,0,24.99,dead quasar shock,,,
Dictyostega,Aristolochia Group,SB(r)0a,Quenched,26541,"86,565",8.75E+09,0.619,None,0,0.00E+00,1.00E+06,4.97,91.22,0,24.91,large complex s0,,,
Oxygyne,Aristolochia Group,SA(s)bc,Steady,23309,"76,024",5.42E+09,0.383,None,0,0.00E+00,1.00E+06,5.50,80.12,0.75,23.64,cluster spiral',,,
Sapria,Aristolochia Group,SB(s)d,Steady,26671,"86,989",4.59E+09,0.324,None,0,0.00E+00,1.00E+06,5.68,91.67,0.5,24.87,2 thin arms only,,,
Aristolochia,Aristolochia Group,SA(s)bc pec,Elevated,34019,"110,955",1.37E+10,0.966,Sy1.5,0.138,5.89E+04,1.00E+06,4.49,116.90,0.95,21.71,kinked tail,,,
Lactoris,Aristolochia Group,SA(s)b pec,Starburst,15580,"50,815",5.71E+09,0.404,Radio-quiet QSO,15.37,2.74E+06,1.00E+06,5.44,53.56,0.5,23.46,enormous SFRs,,,
Asarum,Aristolochia Group,Amorphous,Starburst,5575,"18,183",8.42E+08,0.060,None,0,0.00E+00,1.00E+06,7.52,19.17,0,24.06,stellar filaments,,,
Sarcandra,Aristolochia Group,SA(s)b,Steady,28147,"91,803",1.05E+10,0.741,None,0,0.00E+00,1.00E+06,4.78,96.74,0.5,24.09,reddish flocculent,,,
Eulychnia,Aristolochia Group,SB(s)ab pec,Anemic,19474,"63,516",5.20E+09,0.368,Sy1,2.393,3.89E+05,1.00E+06,5.54,66.94,0,24.80,shocked LIRG SB,,,
Echinopsis,Aristolochia Group,SB(s)b pec,Anemic,21501,"70,127",7.18E+09,0.508,Sy2,5.147,1.15E+06,1.00E+06,5.19,73.90,0,24.67,half-ring SB,,,
Tristerix,Aristolochia Group,E1 pec,Quenched,14495,"47,276",3.32E+09,0.235,Sy1.2,10.32,1.07E+06,1.00E+06,6.03,49.83,0,24.65,embedded E,,,
Abutilon,Aristolochia Group,SA(s)0a pec,Starburst,44883,"146,389",3.13E+10,2.215,FRII BLRG,0.778,7.61E+05,1.00E+06,3.59,154.19,0,24.66,E w chaotic disk,,,
Myosotis,Aristolochia Group,Collisional ring,Starburst,56777,"185,182",1.27E+10,0.896,None,0,0.00E+00,1.00E+06,4.57,194.98,0,26.16,hook ring,,,
Aureolaria,Aristolochia Group,E0 pec,Rejuvenating,19202,"62,628",6.15E+09,0.435,None,0,0.00E+00,1.00E+06,5.36,66.00,0,24.59,blue shell elliptical,,,
Monochasma,Aristolochia Group,E7 pec,Anemic,7764,"25,323",8.42E+08,0.060,None,0,0.00E+00,1.00E+06,7.52,26.69,0.67,23.58,jellyfish dE,,,
Leucosalpa,Aristolochia Group,dSph,Steady,1330,"4,338",2.74E+07,0.002,None,0,0.00E+00,1.00E+06,11.24,4.57,0,24.67,starforming dSph,,,
Aranda,Amborella Group,SA(s)a pec,Terminal,17842,"58,193",7.42E+09,0.525,Sy1,0.821,1.90E+05,1.00E+06,5.15,61.33,0,24.23,recent merger S,,,
Pteroceras,Amborella Group,SAB(rs)a pec,Starburst,14119,"46,050",4.48E+09,0.317,HII nucleus,0.014,1.96E+03,1.00E+06,5.70,48.53,0.75,22.76,low-dust starburst,,,
Sarcochilus,Amborella Group,SB(s)ab pec,Starburst,12230,"39,889",4.23E+09,0.299,HII nucleus,0.019,2.51E+03,1.00E+06,5.76,42.04,0.75,22.51,extreme starburst,,,
Aerides,Amborella Group,SB(s)c pec,Starburst,19228,"62,713",4.29E+09,0.304,Sy1.2,0.999,1.34E+05,1.00E+06,5.75,66.09,0.5,24.23,half of an S,,,
Rhynchostylis,Amborella Group,SAB(rs)ab pec,Starburst,15191,"49,546",4.64E+09,0.328,LINER,0.046,6.67E+03,1.00E+06,5.66,52.22,0.75,22.88,very straight tail,,,
Phaeoptilum,Amborella Group,(R')SA(s)ab,Anemic,28140,"91,780",7.44E+09,0.526,LINER,0.088,2.05E+04,1.00E+06,5.15,96.71,0.5,24.46,mid-disk ring,,,
Cyphomeris,Amborella Group,SA(s)cd,Steady,33481,"109,200",7.80E+09,0.552,None,0,0.00E+00,1.00E+06,5.10,115.06,0,25.54,backwards arms,,,
Pontederia,Amborella Group,SB(rs)dm,Elevated,10831,"35,326",1.13E+09,0.080,None,0,0.00E+00,1.00E+06,7.20,37.23,0.5,24.43,weak ring SBd,,,
Pistia,Amborella Group,SA(s)d pec,Elevated,10328,"33,685",7.40E+08,0.052,Sy1,0.546,1.26E+04,1.00E+06,7.66,35.50,0.67,24.34,S w blue shells,,,
Taxus,Amborella Group,(R')SB(s)bc pec,Steady,54181,"176,715",1.36E+10,0.962,Sy2,0.228,9.69E+04,1.00E+06,4.50,186.08,0.5,25.23,S w/ outer ring,,,
Tetrastigma,Amborella Group,SA(s)c pec,Elevated,32883,"107,250",1.34E+10,0.948,None,0,0.00E+00,1.00E+06,4.51,113.00,0,24.91,distorted arm,,,
Rafflesia,Amborella Group,UDG-B,Rising,10174,"33,183",1.18E+07,0.001,None,0,0.00E+00,1.00E+06,12.15,34.97,0.5,29.25,"lots of gas, 1K stars",,,
Amborella,Amborella Group,SAB(rs)c,Steady,141128,"460,297",2.72E+11,19.241,HII nucleus,0.00371,3.15E+04,1.00E+06,1.24,481.98,0,24.79,giant M83-like S,,,
Kaempferia,Amborella Group,SB(r)ab,Steady,28913,"94,301",1.17E+10,0.830,LINER,0.018,6.60E+03,1.00E+06,4.66,99.37,0,24.78,half-flocculent,,,
Siamanthus,Amborella Group,SA(s)b,Steady,23719,"77,361",6.71E+09,0.475,Sy1.8,0.731,1.53E+05,1.00E+06,5.26,81.52,0.5,24.20,compact,,,
Ischnosiphon,Amborella Group,SA(s)bc,Starburst,34779,"113,434",1.36E+10,0.964,Sy1.5,4.157,1.77E+06,1.00E+06,4.49,119.51,0.8,23.27,giant outflow,,,
Thelymitra,Amborella Group,IAB(s)m,Steady,3209,"10,466",1.32E+08,0.009,None,0,0.00E+00,1.00E+06,9.53,11.03,0.5,24.13,compact core-hii irr,,,
Dracophilus,Amborella Group,IAB(s)m,Steady,4393,"14,328",3.19E+08,0.023,None,0,0.00E+00,1.00E+06,8.57,15.10,0.5,23.85,dragonhead,,,
Titanopsis,Amborella Group,UDG-R,Quenched,15012,"48,963",2.32E+07,0.002,None,0,0.00E+00,1.00E+06,11.42,51.60,0,30.11,fragment of a relic,,,
